spotify:track:58KjkHLf5nt4lyMAdlh5jS,Even If the Sky Is Falling Down,Old Current 3,Candelion,Pretty Little Liar,45,0.426,-9.692,0.0488,0.873,3.33e-06,0.126,0.658,120.071,164744
spotify:track:6eWw4oAAP3TVf4BoKPt1Tp,You Can Take Me High,Old Current 3,Candelion,Dream,53,0.336,-9.651,0.0451,0.84,0,0.149,0.391,68.785,170484
spotify:track:4Tzo9BeLXXZQkoYiAHzJsh,Give Me Your Attention,Old Current 3,Candelion,Pretty Little Liar,34,0.441,-11.077,0.0293,0.851,0.000236,0.108,0.55,102.055,196347
spotify:track:3vTiwx5LzYDCedglixoJz1,In the Pale, Grey Dawn,Old Current 3,Thomas James White,The Deep Blue,9,0.124,-14.743,0.0471,0.858,0.921,0.25,0.0309,146.77,291000
spotify:track:1TSqX33n0SFrgsjEbn0rg7,#2,Old Current 3,Nils Frahm,All Melody,33,0.441,-17.923,0.0456,0.503,0.866,0.0838,0.276,100.995,580016
spotify:track:46exzPPGwXU9Xcoz5u618b,Fountain Of Youth,Old Current 3,Local Natives,Sunlit Youth,44,0.563,-5.29,0.04,0.0129,3.36e-05,0.0835,0.264,80.767,233520
spotify:track:7LZN7FkxHZk6maiN6NdI2i,Dark Days,Old Current 3,Local Natives,Sunlit Youth,62,0.655,-7.088,0.0273,0.109,0.0019,0.125,0.59,115.038,180413
spotify:track:53I7CviVHhNYEKth717RLG,Coins,Old Current 3,Local Natives,Sunlit Youth,52,0.576,-4.859,0.0365,0.0578,0,0.0523,0.607,138.045,237693
spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Old Current 3,Coldplay,X&Y,85,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533
spotify:track:5wU6jk9kxYzFGUpeE6T2Q5,Crystals,Old Current 3,Of Monsters and Men,Beneath The Skin,62,0.747,-7.207,0.0303,0.00202,0.000449,0.109,0.325,132.195,243520
spotify:track:3o1cohFfwd57rAvrbyVE5e,Love Love Love,Old Current 3,Of Monsters and Men,My Head Is An Animal,57,0.367,-9.814,0.0377,0.806,8.98e-05,0.0836,0.16,110.947,238787
spotify:track:6HTVZeVQ9J6Uiq6tHESxU9,Welcome Home, Son,Old Current 3,Radical Face,Ghost,69,0.497,-10.757,0.0307,0.723,0.782,0.142,0.401,144.972,287634
spotify:track:1zS85RlXiRuTiWpDIOhICA,It's Not My Fault, I'm Happy,Old Current 3,Passion Pit,Gossamer,43,0.857,-5.571,0.0337,0.0101,0.0141,0.141,0.282,104.992,305680
spotify:track:08cXy6KUizaAelYXtcew3w,1957,Old Current 3,Milo Greene,Milo Greene,61,0.595,-9.799,0.0325,0.663,5.58e-05,0.178,0.596,190.043,204213
spotify:track:2iU1xHzVXmyZZiOzGBGtWg,Within,Old Current 3,William Joseph,Within,31,0.518,-12.699,0.0425,0.779,0.955,0.0745,0.124,70.051,180493
spotify:track:738e4xzLmRkaY1qMDt3mh4,Holograms,Old Current 3,M83,You And The Night,39,0.299,-13.986,0.0308,0.905,0.953,0.0798,0.0791,75.011,214903
spotify:track:1N3QfWDTgcnr7E2G7NliWD,Cibi,Old Current 3,Luke Howard,Two & One,26,0.233,-14.552,0.0334,0.986,0.807,0.119,0.167,135.051,249745
